overall_rank,amfi_code,scheme_name,fund_house,return_3yr_pct,sharpe_ratio,alpha,beta,expense_ratio_pct,max_drawdown_pct,fund_score
1,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,1.190558596306751,0.2926358334175106,0.000549004250631731,1.36,-18.188513572116292,79.62
2,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,1.3194419817117224,0.27330465038306057,-0.02282956979242654,1.45,-12.97396816518679,78.62
3,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,1.1043517629506803,0.2719535450128533,0.005103525830528313,1.38,-16.217208574644847,75.88
4,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,0.9533324621776287,0.3033696538698332,-0.02319606204405971,1.43,-28.706005721764548,75.25
5,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.4625040290030797,0.2698375144191807,0.023683558075848616,1.46,-11.265729075028275,74.62
6,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,0.9579170598994393,0.3005787817097677,0.011455159960520695,1.52,-31.171900300634213,69.31
7,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,1.1434895599140866,0.26598577542043045,-0.002523004664699212,1.61,-17.24810575345138,67.88
8,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,1.0405688566490552,0.2119482701352573,0.016232169761417024,0.8,-12.588275606922517,66.88
9,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,1.008625789131447,0.2607666908004223,-0.0662654286280376,1.38,-20.960883862039193,66.12
10,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,1.2463441409620544,0.2827036785246582,0.01813388408385925,1.6,-16.39674294693263,62.06
11,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.0959175992660923,0.21829397904608644,-0.008353832126962014,1.51,-17.41407508665723,60.94
12,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,1.2229472146851277,0.23201007160635082,-0.03175144113890976,1.54,-15.012385498645331,59.44
13,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,1.0410608155745142,0.21399784776051212,0.02108631625012804,1.6,-11.291596329323072,58.06
14,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.9677516848309506,0.1986859936686296,-0.02615930751351341,0.66,-11.803493502764296,57.38
