base,date,currency,rate
USD,2026-08-17,AUD,1.4035
USD,2026-08-17,BRL,5.2102
USD,2026-08-17,CAD,1.3859
USD,2026-08-17,CHF,0.80989
USD,2026-08-17,CNY,6.7394
USD,2026-08-17,CZK,20.876
USD,2026-08-17,DKK,6.4485
USD,2026-08-17,EUR,0.86259
USD,2026-08-17,GBP,0.73751
USD,2026-08-17,HKD,7.8453
USD,2026-08-17,HUF,312.2
USD,2026-08-17,IDR,17816
USD,2026-08-17,ILS,2.9513
USD,2026-08-17,INR,95.61
USD,2026-08-17,ISK,122.66
USD,2026-08-17,JPY,159.23
USD,2026-08-17,KRW,1411.91
USD,2026-08-17,MXN,17.0091
USD,2026-08-17,MYR,4.0625
USD,2026-08-17,NOK,9.4225
USD,2026-08-17,NZD,1.6901
USD,2026-08-17,PHP,61.509
USD,2026-08-17,PLN,3.7146
USD,2026-08-17,RON,4.5195
USD,2026-08-17,SEK,9.4893
USD,2026-08-17,SGD,1.2764
USD,2026-08-17,THB,33.025
USD,2026-08-17,TRY,47.902
USD,2026-08-17,ZAR,16.1767
